ID,Ley,Articulo,Objetivo,Stakeholder,ID-EV,ID-RF,Tipo,ID-CU,ID-HU,ID-CA,Clase,Proceso,Nombre-Proceso,ID-CasoPrueba,ID-Componente,ID-Mockup,Estado-Traza
29,No aplica,No aplica,Registro del proceso de mantenimiento fisico,Personal de Infraestructura y Mantenimiento,EV-06,RF-08;RF-10;RF-11;RF-12;RF-17;RD-17,RD,CU-04;CU-08;CU-09,HU-07;HU-08;HU-09;HU-10,CA-07;CA-08;CA-09;CA-10,SolicitudMantenimiento,P3;P5;P7,Detectar anomalias y emitir alertas;Gestionar solicitudes y tickets;Generar y exportar reportes,CP-RF-08;CP-RF-10;CP-RF-11;CP-RF-12;CP-RF-17,SolicitudMantenimiento,Sin prototipo asociado,Restriccion de diseno
30,LOPDP,Art. 26; Art. 4,Evidencia del sistema de camaras existente,Personal de Infraestructura y Mantenimiento,EV-07,RF-06;RF-07;RF-22;RD-05,RD,CU-01;CU-12;CU-15,HU-06;HU-16,CA-06;CA-16,CamaraVigilancia,P1;P6,Adquirir y normalizar telemetria;Presentar panel de control y video,CP-RF-06;CP-RF-07;CP-RF-22,CamaraVigilancia,Sin prototipo asociado,Restriccion de diseno
31,No aplica,No aplica,Validar percepcion del panel de control con personal no tecnico,Personal de servicios generales,EV-08,RF-07,RF,CU-01,HU-06,CA-06,Aula,P6,Presentar panel de control y video,CP-RF-07,Aula,MU-01,Completa
32,LOPDP,Art. 26; Art. 4,Confirmar limitacion real de camaras interiores no operativas,Personal de servicios generales,EV-08,RF-06,RF,CU-15,Sin historia de usuario,Sin criterio de aceptacion,CamaraVigilancia,P6,Presentar panel de control y video,CP-RF-06,CamaraVigilancia,Sin prototipo asociado,Parcial - sin historia
33,LOPDP,Art. 26; Art. 4,Validar percepcion del panel consolidado con personal no tecnico,Personal de servicios generales,EV-09,RF-01;RF-03;RF-07,RF,CU-01;CU-03,HU-01;HU-03;HU-06,CA-01;CA-03;CA-06,Aula,P1;P6,Adquirir y normalizar telemetria;Presentar panel de control y video,CP-RF-01;CP-RF-03;CP-RF-07,Aula,MU-01,Completa
34,No aplica,No aplica,Validar disponibilidad de aulas filtrada por horario docente,Coordinacion,EV-10,RF-07,RF,CU-01,HU-06,CA-06,Aula,P6,Presentar panel de control y video,CP-RF-07,Aula,MU-01,Completa
35,No aplica,No aplica,Detectar necesidad de tablero de estado de equipos por sesion de clase,Personal de servicios generales,EV-11,RF-12,RF,CU-06,HU-10,CA-10,SolicitudMantenimiento,P5,Gestionar solicitudes y tickets,CP-RF-12,SolicitudMantenimiento,MU-03,Completa
36,No aplica,No aplica,Validar el panel de control y el historial de alertas con un docente,Docente,EV-12,RF-04;RF-05;RF-07;RF-08;RF-11;RF-13;RF-14;RF-16,RF,CU-01;CU-04;CU-05,HU-04;HU-05;HU-06;HU-07;HU-09;HU-11;HU-13,CA-04;CA-05;CA-06;CA-07;CA-09;CA-11;CA-13,Aula;Alerta,P2;P3;P6;P7,Controlar equipamiento del aula;Detectar anomalias y emitir alertas;Presentar panel de control y video;Generar y exportar reportes,CP-RF-04;CP-RF-05;CP-RF-07;CP-RF-08;CP-RF-11;CP-RF-13;CP-RF-14;CP-RF-16,Aula;Alerta,MU-01;MU-02,Completa
37,LOPDP,Art. 7,Detectar brecha de historial de intervenciones no expuesto en reportes,Docente,EV-13,RF-10;RF-17;RF-19,RF,CU-08;CU-09,HU-08;HU-14,CA-08;CA-14,ReporteAdministrativo,P5;P7;P8,Gestionar solicitudes y tickets;Generar y exportar reportes;Controlar acceso y registrar bitacora,CP-RF-10;CP-RF-17;CP-RF-19,ReporteAdministrativo,MU-04,Completa
38,No aplica,No aplica,Validar necesidad de acuse de recepcion en solicitudes de mantenimiento,Coordinacion,EV-14,RF-12,RF,CU-06;CU-07,HU-10,CA-10,SolicitudMantenimiento,P5,Gestionar solicitudes y tickets,CP-RF-12,SolicitudMantenimiento,MU-03,Completa
39,No aplica,No aplica,Detectar ausencia de conectividad como riesgo critico del sistema,Docente;Coordinacion,EV-13;EV-14,RD-02,RD,CU-01,Sin historia de usuario,Sin criterio de aceptacion,GatewayIoT,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),GatewayIoT,Sin prototipo asociado,Restriccion de diseno - sin historia
40,No aplica,No aplica,Detectar necesidad de inventario de equipos de laboratorio,Docente,EV-16,RF-07,RF,CU-01,HU-06,CA-06,Aula;Equipo,P6,Presentar panel de control y video,CP-RF-07,Aula;Equipo,MU-01,Completa
41,No aplica,No aplica,Simplificar historial de estados del ticket de mantenimiento,Docente,EV-16,RF-12,RF,CU-07,HU-10,CA-10,SolicitudMantenimiento,P5,Gestionar solicitudes y tickets,CP-RF-12,SolicitudMantenimiento,MU-03,Completa
42,LOPDP,Art. 26; Art. 4,Documentar diversidad de contexto fisico del entorno de las aulas,Personal de Infraestructura y Mantenimiento,EV-18,RF-01;RF-04;RF-05;RF-06,RD,CU-01;CU-02;CU-15,HU-01;HU-04;HU-05,CA-01;CA-04;CA-05,Aula;Equipo;CamaraVigilancia,P1;P2;P6,Adquirir y normalizar telemetria;Controlar equipamiento del aula;Presentar panel de control y video,CP-RF-01;CP-RF-04;CP-RF-05;CP-RF-06,Aula;Equipo;CamaraVigilancia,Sin prototipo asociado,Completa
43,No aplica,No aplica,Verificar aplicacion real del cuestionario a estudiantes,Estudiantes,EV-19,RF-04;RF-05;RF-07;RF-08,RD,CU-01;CU-02;CU-04;CU-05,HU-04;HU-05;HU-06;HU-07,CA-04;CA-05;CA-06;CA-07,Sin clase asociada,P2;P3;P6,Controlar equipamiento del aula;Detectar anomalias y emitir alertas;Presentar panel de control y video,CP-RF-04;CP-RF-05;CP-RF-07;CP-RF-08,Sin componente asociado,Sin prototipo asociado,Parcial - sin clase
44,No aplica,No aplica,El sistema debe entregar alertas de anomalia en <=60s desde la deteccion,Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RNF-01,RNF,CU-04;CU-05,Sin historia de usuario,Sin criterio de aceptacion,Alerta,Transversal,Transversal a varios procesos,CP-RNF-01,Alerta,Sin prototipo asociado,"Huerfana - sin fuente, historia"
45,No aplica,No aplica,Disponibilidad >=99% mensual (downtime <=7.3 h/mes),Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RNF-02,RNF,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,CP-RNF-02,Sin componente asociado,Sin prototipo asociado,"Huerfana - sin fuente, caso de uso, clase, historia"
46,No aplica,No aplica,Datos en transito y reposo cifrados con AES-256; acceso sin credenciales rechazado,Personal de TI,Sin evidencia de campo,RNF-03,RNF,CU-11,Sin historia de usuario,Sin criterio de aceptacion,Usuario;Rol,Transversal,Transversal a varios procesos,CP-RNF-03,Usuario;Rol,Sin prototipo asociado,"Huerfana - sin fuente, historia"
47,No aplica,No aplica,Usuario sin capacitacion previa completa consultar estado de un aula en <=2 min,Docente;Estudiantes,Sin evidencia de campo,RNF-04,RNF,CU-01,Sin historia de usuario,Sin criterio de aceptacion,Aula,Transversal,Transversal a varios procesos,CP-RNF-04,Aula,MU-01,"Huerfana - sin fuente, historia"
48,No aplica,No aplica,La interfaz debe funcionar sin instalacion adicional en Chrome Firefox y Edge,Docente;Estudiantes;Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RNF-05,RNF,CU-01,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,CP-RNF-05,Sin componente asociado,Sin prototipo asociado,"Huerfana - sin fuente, clase, historia"
49,No aplica,No aplica,Cobertura de pruebas unitarias >=70% en modulos criticos,Personal de TI,Sin evidencia de campo,RNF-06,RNF,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,CP-RNF-06,Sin componente asociado,Sin prototipo asociado,"Huerfana - sin fuente, caso de uso, clase, historia"
50,No aplica,No aplica,Tasa de acierto >=95% del modulo de deteccion de ocupacion frente al estado real,Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RNF-07,RNF,CU-03,Sin historia de usuario,Sin criterio de aceptacion,SensorIoT,Transversal,Transversal a varios procesos,CP-RNF-07,SensorIoT,Sin prototipo asociado,"Huerfana - sin fuente, historia"
51,No aplica,No aplica,Integracion con el Sistema de Horario Academico sin perdida de datos,Coordinacion,EV-10,RNF-08,RNF,CU-13,Sin historia de usuario,Sin criterio de aceptacion,HorarioAcademico,Transversal,Transversal a varios procesos,CP-RNF-08,HorarioAcademico,Sin prototipo asociado,Parcial - sin historia
52,No aplica,No aplica,Incorporar un nuevo tipo de sensor IoT en <=8 horas-persona sin modificar el nucleo,Personal de TI,Sin evidencia de campo,RNF-09,RNF,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,GatewayIoT,Transversal,Transversal a varios procesos,CP-RNF-09,GatewayIoT,Sin prototipo asociado,"Huerfana - sin fuente, caso de uso, historia"
53,No aplica,No aplica,Explicacion de cada prediccion de falla en <=2s y <=60 palabras comprensible para el usuario,Personal de Infraestructura y Mantenimiento;Personal de TI,Sin evidencia de campo,RNF-10,RNF,CU-16,Sin historia de usuario,Sin criterio de aceptacion,Equipo,Transversal,Transversal a varios procesos,CP-RNF-10,Equipo,Sin prototipo asociado,"Huerfana - sin fuente, historia"
54,LOPDP,Art. 13,Exportar los datos personales del usuario en <=15 dias habiles desde la solicitud,Docente;Coordinacion,Sin evidencia de campo,RNF-11,RNF,CU-11,Sin historia de usuario,Sin criterio de aceptacion,Usuario,Transversal,Transversal a varios procesos,CP-RNF-11,Usuario,Sin prototipo asociado,"Huerfana - sin fuente, historia"
55,LOPDP,Art. 43; Art. 46,Alerta automatica al administrador ante intento de acceso no autorizado en <=5 min,Personal de TI,Sin evidencia de campo,RNF-12,RNF,CU-11,Sin historia de usuario,Sin criterio de aceptacion,Usuario;Rol,Transversal,Transversal a varios procesos,CP-RNF-12,Usuario;Rol,Sin prototipo asociado,"Huerfana - sin fuente, historia"
56,No aplica,No aplica,Reanudar recepcion de datos en <=5 min tras restablecimiento de conexion del Gateway IoT,Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RNF-13,RNF,CU-12,Sin historia de usuario,Sin criterio de aceptacion,GatewayIoT,Transversal,Transversal a varios procesos,CP-RNF-13,GatewayIoT,Sin prototipo asociado,"Huerfana - sin fuente, historia"
57,No aplica,No aplica,Tiempo medio de diagnostico de una falla reportada <=15 min para el personal de TI,Personal de Infraestructura y Mantenimiento;Docente,EV-12,RNF-14,RNF,CU-08,Sin historia de usuario,Sin criterio de aceptacion,SolicitudMantenimiento,Transversal,Transversal a varios procesos,CP-RNF-14,SolicitudMantenimiento,Sin prototipo asociado,Parcial - sin historia
58,No aplica,No aplica,Interfaz web operativa sin perdida de funciones criticas con ancho de banda >=1 Mbps,Docente;Estudiantes,Sin evidencia de campo,RNF-15,RNF,CU-01,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,CP-RNF-15,Sin componente asociado,Sin prototipo asociado,"Huerfana - sin fuente, clase, historia"
59,No aplica,No aplica,Notificar explicitamente al usuario cuando un aula no tiene conectividad de red disponible,Docente;Coordinacion,EV-13;EV-14,RNF-16,RNF,CU-01,Sin historia de usuario,Sin criterio de aceptacion,GatewayIoT,Transversal,Transversal a varios procesos,CP-RNF-16,GatewayIoT,Sin prototipo asociado,Parcial - sin historia
60,No aplica,No aplica,La plataforma debera utilizar una base de datos aprobada por la institucion o el equipo de TI,Personal de TI,Sin evidencia de campo,RD-03,RD,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Sin componente asociado,Sin prototipo asociado,"Restriccion de diseno - sin fuente, caso de uso, clase, historia"
61,No aplica,No aplica,El sistema solo podra controlar proyectores climatizacion y dispositivos tecnicamente compatibles,Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RD-04,RD,CU-02,Sin historia de usuario,Sin criterio de aceptacion,Proyector;Climatizador,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Proyector;Climatizador,Sin prototipo asociado,"Restriccion de diseno - sin fuente, historia"
62,No aplica,No aplica,La interfaz de usuario debera ejecutarse en navegadores modernos sin instalacion adicional,Docente;Estudiantes;Personal de Infraestructura y Mantenimiento,Sin evidencia de campo,RD-06,RD,CU-01,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Sin componente asociado,Sin prototipo asociado,"Restriccion de diseno - sin fuente, clase, historia"
63,No aplica,No aplica,Se priorizara la integracion de aulas piloto antes de una cobertura total de la facultad,Coordinacion,Sin evidencia de campo,RD-08,RD,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,Sin clase asociada,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Sin componente asociado,Sin prototipo asociado,"Restriccion de diseno - sin fuente, caso de uso, clase, historia"
64,LOPDP,Art. 7,El sistema debera respetar las politicas institucionales y la normativa de proteccion de datos,Docente;Coordinacion,Sin evidencia de campo,RD-09,RD,Sin caso de uso asociado,Sin historia de usuario,Sin criterio de aceptacion,Usuario;CamaraVigilancia,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Usuario;CamaraVigilancia,Sin prototipo asociado,"Restriccion de diseno - sin fuente, caso de uso, historia"
65,No aplica,No aplica,El acceso a funciones administrativas tecnicas y de control remoto debera estar restringido por roles,Personal de TI,Sin evidencia de campo,RD-10,RD,CU-11,Sin historia de usuario,Sin criterio de aceptacion,Usuario;Rol,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),Usuario;Rol,Sin prototipo asociado,"Restriccion de diseno - sin fuente, historia"
66,No aplica,No aplica,Las acciones de los usuarios deberan registrarse en bitacora para trazabilidad y auditoria,Personal de TI,Sin evidencia de campo,RD-11,RD,CU-14,Sin historia de usuario,Sin criterio de aceptacion,BitacoraAccion,Transversal,Transversal a varios procesos,No aplica (restriccion de diseno),BitacoraAccion,Sin prototipo asociado,"Restriccion de diseno - sin fuente, historia"
