Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador
Le pusieron un papel con chicle y taparon la cámara y se llevaron un proyector,Riesgo_vandalismo_hurto_equipos,Seguridad fisica de activos,RF-Candidato_alerta_manipulacion_camara,EV-08,Sanchez G.
"Me sirve, me sirve demasiado en lo que es la administración... tener controlado controles de las aulas y todo",Aceptacion_panel_por_conserje,Adopcion y confianza,RF-07,EV-09,Sanchez G.
Comparto mi pantalla; en una tengo el horario del curso y en la otra el horario docente para ver cómo van funcionando esos cambios,Proceso_manual_cruce_horarios,Gestion de horarios,RF-15;RD-13,EV-10,Sanchez G.
"Me parece súper interesante. ¿Qué le adicionaría yo? Una respuesta... un tiempo de respuesta mínimo, por decir, si es de alta prioridad, mínimo un día",Solicitud_SLA_por_prioridad,Gestion de mantenimiento y tickets,RF-Candidato_SLA_prioridad,EV-10,Sanchez G.
"Me mantengan informada... su solicitud ya fue recibida, la estamos revisando, es posible que tal día estaremos allí para reparar",Necesidad_notificacion_estado_ticket,Gestion de mantenimiento y tickets,RF-12,EV-10,Sanchez G.
Temas de algún tipo de seguimiento de derivaciones a departamentos... esa es información súper delicada que no tiene por qué nadie saberlo,Preocupacion_confidencialidad_datos_sensibles,Gestion de acceso y roles,RF-19,EV-10,Sanchez G.
"Sobre todo el de la gestión de un mantenimiento, porque a veces sí siento que hay como una desconexión",Desconexion_percibida_seguimiento_mantenimiento,Gestion de mantenimiento y tickets,RF-12,EV-10,Sanchez G.
"Si nosotros tuviéramos una aplicación que se pudiera hacer de allá acá, a buena hora... la parte de automatización para que los datos se den cuenta",Interes_automatizacion_apagado_remoto,Control remoto de equipos,RF-02;RF-05,EV-11,Sanchez G.
Si tuviéramos en la tecnología una aplicación... para poder nosotros continuamente estar revisando desde el teléfono,Interes_monitoreo_movil_camaras,Monitoreo y visibilidad,RF-02;RNF-Portabilidad,EV-11,Sanchez G.
"¿Cómo podría yo, si estoy en el aula 110... necesito abrir la 101? Pienso yo que debería abrirse por separado, unitariamente",Preferencia_vista_individual_no_grid,Usabilidad de interfaz,RF-Candidato_vista_individual_aula,EV-11,Sanchez G.
Quieren es que uno trate de resolver o directamente al [AUTORIDAD DE LA FACULTAD]... pero no quieren responsabilidad,Ambiguedad_cadena_responsabilidad_reporte,Trazabilidad y responsabilidad,RF-23,EV-11,Sanchez G.
Quiere decir que se utilizaría para antes de iniciar mi clase... aclimato el aula antes de ingresar,Uso_previo_a_clase_control_clima,Control remoto de equipos,RF-05,EV-12,Sanchez G.
Igual sería bueno que solo se apagara cuando ya no hubiera estudiantes en el aula,Automatizacion_condicionada_a_ocupacion,Control remoto de equipos,RF-16,EV-12,Sanchez G.
Si esto es automático también lo haría... esto sería para un problema que esté sucediendo bajo mis horas de clase,Distincion_alerta_automatica_vs_manual,Gestion de alertas,RF-08,EV-12,Sanchez G.
"¿Dónde me va a reflejar de que esa herramienta yo ya he reportado, que fue diagnosticada, le repararon, le revisaron? Eso es para que tenga una secuencia",Falta_historial_correcciones_por_equipo,Gestion de mantenimiento y tickets,RF-Candidato_historial_por_equipo,EV-13,Sanchez G.
"Si el docente no tiene llaves... ¿quién abre las puertas? Suelen estar esperando cinco, diez, quince minutos",Retraso_apertura_aula_sin_responsable_disponible,Control remoto de equipos,RF-Candidato_control_acceso_puertas,EV-13,Sanchez G.
Consideraría que eso se puede esperar hasta 24 horas,Umbral_tiempo_respuesta_aceptable_24h,Gestion de mantenimiento y tickets,RNF-Candidato_SLA_24h,EV-13,Sanchez G.
"El SGA nos genera automáticamente, nos envía alertas cuando tenemos un choque de horario o conflicto de aula",Precedente_alertas_automaticas_en_SGA,Gestion de alertas,RF-08,EV-14,Sanchez G.
Eso tardó en poder solucionar esa situación más o menos unas tres semanas... porque nosotros no tenemos activos fijos disponibles aquí en la facultad,Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-14,Sanchez G.
"Si yo tengo acceso a las cámaras que me permitan monitorear, puedo evidenciar que el docente en efecto está impartiendo su clase",Uso_camara_para_verificar_asistencia_docente,Limitaciones fuera de alcance,RD-15,EV-14,Sanchez G.
"Yo creo que esta es la que me solucionaría... la gestión de mantenimiento, definitivamente. Porque eso nos reduce tiempo",Priorizacion_percibida_gestion_mantenimiento,Adopcion y confianza,RF-12,EV-14,Sanchez G.
"La cantidad de máquinas que están en buen estado... el hardware, el software para el tipo de carrera",Requisitos_especificos_laboratorio_computo,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-16,Sanchez G.
He perdido hasta 40 minutos... me ha tocado cambiarme de laboratorio porque no ha sido posible dar solución,Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,RF-12,EV-16,Sanchez G.
"No debería poner estado anterior y estado nuevo, sino simplemente estado... con la fecha y hora ya se sabe",Simplificacion_historial_ticket_un_solo_estado,Usabilidad de interfaz,RNF-04,EV-16,Sanchez G.
Cada laboratorio creo que debería tener información sobre las carreras... porque según la carrera son los programas que se instalan,Necesidad_metadatos_laboratorio_por_carrera,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-16,Sanchez G.
"Bueno, eh lo que sí eh siempre estoy pendiente es que la conexión de internet sea óptima, porque hoy en día, bueno, sabemos la realidad de acuerdo a la innovación educativa, usamos mucho la conexión al internet para poder eh de una u otra manera eh impartir nuestras clases usando diferentes herramientas tecnológicas. Bueno, yo le decía a usted que soy profesor de inglés y existen un sinnúmero de aplicaciones, software, páginas web que las usamos para poder enseñar de una manera más didáctica.",Dependencia_conectividad_para_clase,Monitoreo y visibilidad,RD-02;RNF-16,EV-20,Sanchez G.
"Entonces, la conexión internet siempre estoy pendiente de que sea óptima. Eh, bueno, en nuestra facultad, como les decía, eh como es un eh tenemos una infraestructura nueva, eh en ocasiones, parece ser cuando hay en horarios que hay mucha actividad en la conexión es que un poco se cae.",Saturacion_red_en_horas_pico,Monitoreo y visibilidad,RNF-15;RD-02,EV-20,Sanchez G.
"Exacto., Pero de ahí regularmente está óptima la conexión. Si vuelvo y repito, depende las actividades que los profesores programen. Entonces, si hay varias personas conectadas, ahí es que un poco hay una saturación.",Saturacion_red_en_horas_pico,Monitoreo y visibilidad,RNF-15;RD-02,EV-20,Sanchez G.
"Bueno, eh primero siempre los coordinadores diarios, ¿no? Para que luego ellos sean los portavoces en la eh",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-20,Sanchez G.
"a la coordinación, ¿no? Entonces eh si existe alguna situación, entonces pues siempre ustedes como docentes vamos de acuerdo al orden jerárquico, comunicamos eh eh lo que se esté presentando para buscar una solución de manera oportuna.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-20,Sanchez G.
"Bueno, eh desconozco si es que existe en sí un documento eh eh oficial para notificar alguna normalidad en el aula. Desconozco por eso que yo lo hago eh conversando con la coordinación de área.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-20,Sanchez G.
"Bueno, le comento que al menos en nuestra facultad sí ha habido respuesta positiva debido a que luego se generó un nuevo ingreso, como decir, al a al a la red. Hace un tiempo atrás eh teníamos una red donde todos tanto alumnos y maestros ingresaban hoy en día se independizó. Parece que hay como otro, no recuerdo el nombre correcto, el nombre técnico, cuando se divide en la red y los los docentes accedemos de una manera y los estudiantes de otra manera ubicando eh nuestro usuario y además nuestra contraseña. Eso ha permitido de que haya mejorado y así no se sature tanto la conexión.",Priorizacion_percibida_gestion_mantenimiento,Adopcion y confianza,RF-12,EV-20,Sanchez G.
"Bueno, eh yo creo que no solamente por conexión, a veces por alguna situación, ¿no? Eh eh uno siempre tiene que buscar las formas de solucionar, ya que eh para eso estamos los docentes, ¿no? Para buscar diferentes estrategias y y llegar con el conocimiento a nuestros estudiantes. ¿Qué eh qué hice? En sí, por ejemplo, recuerdo en algún momento que tenía preparado una evaluación formativa en el sistema de gestión académica y justo eh parece ser que se había quemado un transformador en una en un área de por acá cerca, entonces no había energía en todo el e el pabellón. Entonces eh buscamos otra forma, nosotros evaluamos habilidades. Entonces, si ya la tenía escrita, lo que hice es evaluarle de manera oral a los estudiantes y fue eh mucho más positivo porque de eh podemos de esa manera identificar el el avance de del desarrollo de las habilidades de los alumnos.",Plan_contingencia_docente_ante_falla,Adopcion y confianza,RF-11;RF-12,EV-20,Sanchez G.
"A ver, relacionado equipos, gestiones de mantenimientos, eh, sí, ya. Bueno, lo que sí veo es que en ocasiones eh veo que hay deficiencia, bueno, el agua parece ser que eh en los baños eh a veces eh no sé si la bomba es muy eh muy muy deficiente para abastecer o no sé si debería haber un estanque elevado como para abastecer con más agua porque de eh me me comunicaba uno de los conserjes que eh se distribuía el agua para tres baños y tres carreras. Entonces, parece que según el horario se consume rápido el el agua del tanque elevado, creo yo, que hay, y no y no se abastece. Entonces, hay horarios que a veces eso también genera un poco de de",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-20,Sanchez G.
"preocupación inconveniente porque no hay agua a veces en los baños. Pero eso le digo, parece ser que esto en horarios eh cuando los alumnos unos este, ¿cómo es? Eh, tienen un momento de break, unos 10 minutos, entonces parece ser que si se utilizan todos al mismo momento como que se gasta rápido el agua.",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-20,Sanchez G.
"Depende. A ver, depende. Eh, ustedes saben que hoy en día hay un sinnúmero de de herramientas que nos permiten resolver alguna solución ená para poder eh resolver un problema y buscarle solución a lo mismo. Entonces, primero yo soy de las personas que primero intento yo resolverlo antes de buscar a otra persona que me dé solucionando. Entonces, eh eso",Plan_contingencia_docente_ante_falla,Adopcion y confianza,RF-11;RF-12,EV-20,Sanchez G.
"Bueno, el panel de control, ¿de acuerdo? Me parece muy muy Sí, ya de manejarlo porque aquí eh puedo identificar el problema en sí o el incidente que se presenta, ¿no?, de acuerdo al al aula, ¿no? Es muy fácil de entenderla.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-01;RF-03,EV-20,Sanchez G.
"Eh lo que corresponde a la pantalla de alertas eh es muy bueno porque eh me permitiría hacer una una planificación de, no sé, este cambiar el aula. Si veo que esta tiene me va me va a presentar algún problema en el momento del desarrollo de mi actividad o de mi clase. Entonces, podría eh ver qué otra aula está libre y y eso permitirá desarrollar mis clases sin ningún inconveniente.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-01;RF-03,EV-20,Sanchez G.
"El en la en la pantalla de mantenimiento que se determina la gestión de solicitudes de mantenimiento. Bueno, eh esto es me parece interesante porque eh de una u otra manera aquí es donde yo puedo registrar la situación y ya alguien va a acceder a esta información",Reporte_rapido_incidente_desde_panel,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-20,Sanchez G.
"para de manera oportuna este solucionar, porque a veces eh bueno, yo le decía eh siempre en mi caso yo le comunico al coordinador y área, pero de voz y no sabemos si eh este cómo es qué tiempo eh demora",Desconexion_percibida_seguimiento_mantenimiento,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-20,Sanchez G.
"entonces esto ya va a permitir alertar de que no solamente quizás si ese problema se presentó conmigo, con otro compañero, entonces esto va a permitir de que se asista de manera oportuna y eh para solucionar aquel problema. Entonces, eso es positivo, ¿no? Y esto es eh les felicito a ustedes porque esta esta el desarrollo de esta de estos sistemas permiten eh determinar muchas cosas positivas en la educación, cómo está la educación en nuestra universidad, que estamos tratando de buscar soluciones y soluciones positivas usando eh el la los software, utilizando eh todo lo que bueno, de acuerdo a su a su carrera ¿no?.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-10;RF-23,EV-20,Sanchez G.
"Bien. En lo que es reportes administrativos, eh ya bueno, eh aquí nosotros vemos que está se puedo identificar en esta en esta pantalla que ya se puede dar un porcentaje eh de acuerdo a la a la situación como la y eso es bueno porque de una u otra manera alerta a a las personas que están encargadas de solucionar aquello de que alguien está haciendo alguna observación de cómo está el estado de un aula.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-10;RF-23,EV-20,Sanchez G.
"Bueno, de la cuestión de cómo me sentiría eh creo Creo que en realidad, bueno, no es que me sentiría mal, sino que ya tomaría precaución para buscar una solución de manera inmediata, porque otra cosa es que asista al lugar y ahí eh busque excusas o trate de de en ese momento improvisar algo que eso no podemos hacer nunca. El ser humano siempre tiene que prever. Entonces, esto aquí me permitiría eh planificar mejor lo que voy a realizar ya sabiendo cómo está el estado del a Okay.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-01;RF-03,EV-20,Sanchez G.
"Bueno, vuelvo y te repito, no sé, será porque nosotros somos docentes y a nosotros nuestra formación siempre nos dicen que tenemos que buscar soluciones a las realidades que se presentan. O sea, no me puedo lamentar por una situación y me va a afectar eso. No, no, no, eso no. Tendré que buscar alguna solución. Bueno, te digo, cuando no existía una pizarra acrílica, buscábamos otra forma, había una tiza y si no había aquello, utilizábamos el el cuaderno y teníamos que trabajar, hay que buscarle solución. Eh, bueno, hoy en día la la parece ser que las perspectivas de de de la gente es diferente, que cree que teniendo toda la cuestión tecnológica eh con eso solucionan o que el aula esté totalmente equipada para lograr un objetivo. Eso es secundario. Yo creo que es importante. Sí. Pero ya depende de cómo yo me eh cómo yo eh eh planifico, organizo y voy más allá de la realidades que se pueden presentar. Es como cuando me voy de viaje, o sea, yo no sé qué va a pasar en el camino, entonces me voy de viaje y ya voy viendo y me preocupa todo lo que se puede. Entonces, no. Entonces, el ser humano tiene que buscar soluciones y ver cómo romper ese paradigma de una u otra manera. Con eso también les enseño a los alumnos de que hay que derribar paradigmas y no ponerlos como obstáculos que no los pueda superar.",Plan_contingencia_docente_ante_falla,Adopcion y confianza,RF-11;RF-12,EV-20,Sanchez G.
"Bueno, antes de dar lo que corresponde a la clase, referente a la infraestructura, que el proyector pues funcione para poder dar la impartición la impartición en las clases y obviamente si hay algún problema con aires acondicionados o iluminación pues reportar a coordinación como corresponde.",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-21,Sanchez G.
"Eso sí, en dos aulas de manera específicas están como las condiciones que usted puede ver aquí. Los cables se encuentran fuera y obviamente la estética no corresponde. Y en una aula está, como se puede verificar allí, el cable se pasa directamente sobre los pupitres y es una situación un poco incómoda, pero no se puede hacer la conexión desde el apartado que está hacia el proyector. Entonces, una de las formas que se ha buscado para poder continuar con la impartición de las clases, pues es desde el cable.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-21,Sanchez G.
"Eh, cuando no funcionan los proyectores se da comunicación a la coordinación de la carrera, a los coordinadores de área o a la coordinadora de la carrera que se encuentra en coordinación. A ellos se les comunica y ellos obviamente dan las directrices a seguir.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-21,Sanchez G.
"No, o sea, nos enteramos de que fue atendido porque nos dan un plan emergente, como por ejemplo cuando están las situaciones de problemas de aire, pues se habilitan aulas en las que no estén estudiantes y poder trasladar a la población allá. Eso es una alternativa de solución y obviamente lo mismo se hace referente a los proyectos, o sea, igual se brinda el bienestar a los estudiantes.",Reubicacion_aula_como_plan_emergente,Gestion de mantenimiento y tickets,RF-01;RF-03,EV-21,Sanchez G.
"Es que no todavía no se ha solucionado en algún una aula específica, pues no se ha dado la solución referente a lo que es el aire acondicionado. Lo que nos han manifestado es que ya se dieron la el proceso a seguir con los encargados de del equipo de climatización y que se necesita obviamente las respuestas, que eso ya sale de las manos de",Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-21,Sanchez G.
"No, igual se continúa con la clase. Si es que no hubiera una aula específica para poder trasladar a los estudiantes, pues se continúa allí.",Reubicacion_aula_como_plan_emergente,Gestion de mantenimiento y tickets,RF-01;RF-03,EV-21,Sanchez G.
"Por ejemplo, una es netamente referente al aire y la otra eh en particular pues hace más o menos unos 3 meses ya arreglaron la situación del proyector. Entonces ahí hay otra situación, pero la que todavía continúa es la situación del aire.",Falta_historial_correcciones_por_equipo,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-21,Sanchez G.
"Bueno, lo que yo le digo, lo que yo entendería aquí es que se reportan las acciones que están o las condiciones que se dan dentro del aula de clase y puedo aquí observar si eh va a ser atendido y tal vez la persona también que está a cargo de este proceso. Y aquí todavía no está asignado una persona para que pueda atender la aceptación.",Ambiguedad_cadena_responsabilidad_reporte,Trazabilidad y responsabilidad,RF-10;RF-23,EV-21,Sanchez G.
"mmmm. Tal vez para mí serían bueno conocer si las alertas ya fueron reportadas por el docente de la hora anterior, porque de repente yo pueda redundar en la información.",Prevencion_reporte_duplicado_incidencia,Gestion de alertas,RF-10;RF-23,EV-21,Sanchez G.
"que desconozco si también estaría dentro de la información del detalle. Entonces, si se pusiera en rigor esto de aquí, lo que yo haría antes de reportarla verificar si ya no fue reportada por otra docente.",Prevencion_reporte_duplicado_incidencia,Gestion de alertas,RF-10;RF-23,EV-21,Sanchez G.
"Mucho mejor, porque sea lo que ya me enfrente. Inclusive, si es que imaginémonos que no se pudo solucionar e y en la población fue trasladada a otra aula de clase, pues ya verifico a través de ese sistema y sé que el segundo, por ejemplo, estaría no en el 103, sino en el 108.",Reubicacion_aula_como_plan_emergente,Gestion de mantenimiento y tickets,RF-01;RF-03,EV-21,Sanchez G.
"Bueno, es que ciegas no estamos porque igual nos comunican por WhatsApp por parte de coordinación. Si es que se va a tomar una decisión de traslado de estudiantes o alguna otra situación, los coordinadores nos comunican el día anterior. Entonces, ya sabemos cómo va a ser la logística del día siguiente.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-21,Sanchez G.
"y obviamente si hay una situación de problemas en el SGA, primero se comunica coordinación, ellos nos dan acciones de respuesta y si no se va directamente después de ellos al SGA conocer sobre alguna eventualidad.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-21,Sanchez G.
"el panel por lo super importante para mí mucho más rápido más que observar y ver si es que las situaciones están en mantenimiento, considero que estás aquí me permite tener más claro amplio el panorama referente a la infraestructura del aula.",Aceptacion_panel_centralizado,Adopcion y confianza,RF-01;RF-03,EV-21,Sanchez G.
"o de pronto qué añadiría usted? Más, tengo una pregunta más allá de, por ejemplo, eh una de las situaciones que se dan es que a veces sale el agua y obviamente eso genera cerquitos.",Necesidad_estado_infraestructura_fisica_aula,Inventario y recursos,RF-01;RF-03,EV-21,Sanchez G.
¿Se agrega eso allí a pesar de que es algo que se puede solucionar de otra forma más rápida? Trae un trapeador y ya está. O eso queda fuera de esas observes.,Necesidad_estado_infraestructura_fisica_aula,Inventario y recursos,RF-01;RF-03,EV-21,Sanchez G.
Mm. Ya. Y dentro de esto también está el reporte de si la pizarra no tiene la lona para la proyección.,Necesidad_estado_infraestructura_fisica_aula,Inventario y recursos,RF-01;RF-03,EV-21,Sanchez G.
Sí incide y afecta en la clase. Explico por qué. Porque cuando se hace la proyección las personas que se encuentran en el centro les molesta la vision. Y por eso hay que buscar un plan B. ¿Cuál es el plan B? Mandar las presentaciones a través de los teléfonos celular con tal de no interrumpir la visión de los estudiantes o cambiarlos de manera estratégica para evitar que justamente en el centro en donde se da la visualización en contra no les afecte a los chicos. Eso,Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,RF-04,EV-21,Sanchez G.
"Que esté en buen funcionamiento. Bueno, como general, como profesor, ¿no? Eh, lo primero que las aulas estén en condiciones. En condiciones hablo de que integramos el la parte tecnológica wifi o el punto de red o los cables para para las proyecciones, ¿no? Como e HDMI que se necesita para el proyector.",Dependencia_conectividad_para_clase,Monitoreo y visibilidad,RD-02;RNF-16,EV-22,Munoz Q.
"Cuando hay incidente, pues en ocasiones un que hubo con la toma del del HDMI, ¿no? Eso en su momento se lo dije al cierto Y luego después sí que le avisé expresamente a la coordinadora.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-22,Munoz Q.
"si bueno, hay esta incidencia y entonces yo fundamental profesor de tal asignatura tuve incidente este día estaba chusica no hay ningún formato, creo yo, preestablecido. Entrevistador Claro.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-22,Munoz Q.
"No hay. La brecha ahí es que no hay un un proceso donde inicie y donde termine, ¿no? Por lo general, cuando empiezas un proceso, una incidencia,  Eh, la inicies Por lo general debe seguir su paso a paso y te deben de notificar",Desconexion_percibida_seguimiento_mantenimiento,Gestion de mantenimiento y tickets,RF-10;RF-23,EV-22,Munoz Q.
Pero eso no. De momento creo que todavía eh nos falta aquí una facultad para que se pueda ejecutar.,Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-22,Munoz Q.
"Sí, lo que sí también que la propuesta es nueva, entonces estamos recién iniciando y y los procesos pues son burocráticos. son administrativos que toman su tiempo, no se lo puede tomar a la ligera, ¿no? Eso que siempre tiene que estar normal a través de algún tipo de institutivo que sea aprobado y que está avalado por las autoridades para que sea pero mientras lo que hacemos es eh como necesitamos a la facultad, pues lo que buscamos es intentar solucionarlo por una parte.",Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-22,Munoz Q.
"Aquí en esta facultad mmmmm fue en alguna ocasión que en el aula habían unido en toma eh la toma del HDM5, del HDMI, ¿no? Y ya no podía dar clase. Nosotros eh buscar tuvimos que buscar el conserje En este caso unos estudiantes que nos ayudaron ahí y nos cambiamos de aula.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-22,Munoz Q.
"Sí, eso lo lo más así de ahí. Lo típico que si se va el internet pues yo intento a través del teléfono usarlo mientras pueda para resolver la la conectividad de de del inlazo del trabajo importante.",Plan_contingencia_docente_ante_falla,Adopcion y confianza,RF-11;RF-12,EV-22,Munoz Q.
"Yo creo que no, porque ya cuando se las tiene la la el aula se supone que está en condiciones y este edificio es nuevo y todas las condiciones que debe tener el el edificio, el aula las tiene, ¿no? Los daños que hay pues se dan dentro del semestre y hay dentro de lo normal, ¿no? Que todos los días están con HDMI y es normal, no para mí no creo que pueda surgir algo.",Falla_recurrente_conexion_HDMI,Control remoto de equipos,RF-04,EV-22,Munoz Q.
mmm bueno es que no ya uno de área de informática se me hace complejo en saber como lo uso.,Barrera_usabilidad_por_perfil_no_tecnico,Usabilidad de interfaz,RNF-04,EV-22,Munoz Q.
¿este puente del control? [PENSANDO] Para mí lo general sería que el esté alto Y el resto de de información pues se comprimiría si si yo si a mí me interesaría.,Preferencia_vista_resumida_por_criticidad,Usabilidad de interfaz,RF-01;RF-03,EV-22,Munoz Q.
"qué información que me interesa si es que me interesa dentro de este panel aquí de de tablero de comando, por decirlo así, tablero de comando, ya aquí me sale a 102 alta, pues yo voy directo.",Preferencia_vista_resumida_por_criticidad,Usabilidad de interfaz,RF-01;RF-03,EV-22,Munoz Q.
"No está, pues doy y veo a ver qué es lo que pasa. Ah, estás en señal. Bueno, ya veo cuál era que estaba así y no estaría que la aula 104 sino la 102.",Deteccion_manual_estado_aula,Monitoreo y visibilidad,RF-01;RF-03,EV-22,Munoz Q.
"Sí, pero es que ah yo para mí esto no como profesor, yo no lo usuario ni lo lo tomaría en cuenta. A mí poco me interesaría a mí en las alertas.",Preferencia_vista_resumida_por_criticidad,Usabilidad de interfaz,RF-01;RF-03,EV-22,Munoz Q.
"no esto si no está alto entonces ahí ya yo vería detalles que ahí sí pero esta como tal a mí no me es que no no no ,no no me suma no me suma como profesor ver toda la todas estas cosas.",Preferencia_vista_resumida_por_criticidad,Usabilidad de interfaz,RF-01;RF-03,EV-22,Munoz Q.
"no era porque si tuvieras como un laboratorio ahí sí te serviría porque como laboratorio ya en estas alertas te haría seguir. Eh, el laboratorio uno, por decir, el laboratorio uno que tenemos aquí, eh, ahí me trabajan de las 40 máquinas me trabajan las otras 30 están dañadas y tengo 30 estudiantes entonces me estarían faltando 20.",Requisitos_especificos_laboratorio_computo,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-22,Munoz Q.
Entonces ya sé que eso laboratorio también O pondria una en el laboratorio o hacer grupo con los estudiantes y esa información como profesor si me interesa.,Necesidad_metadatos_laboratorio_por_carrera,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-22,Munoz Q.
"Pero así como está, lamentablemente a mí no me sirve. No me sirve para como para yo poder este decir está bien este informe o est alerta sí que va bien. Ya, pero aunque sí me interesa más este ahí en el aula que la que yo ocupo me diga este está alta o no está. Si no está alta, pues yo veo la que hay que está fallando o si la toma la toma corriente no falla o un proyecto que esta dañado y eso.",Preferencia_vista_resumida_por_criticidad,Usabilidad de interfaz,RF-01;RF-03,EV-22,Munoz Q.
"Sí, aquí se cumple. si yo Veo que el problema que no está o ya gestionar una misma incidencia, ¿no?",Prevencion_reporte_duplicado_incidencia,Gestion de alertas,RF-10;RF-23,EV-22,Munoz Q.
"no sé eh si si es a nivel de móvil, acuérdate que nosotro usamos más el móvil hoy en día",Preferencia_dispositivo_de_acceso_al_panel,Usabilidad de interfaz,RNF-05,EV-22,Munoz Q.
"Ya. Si eso presenta algo malo, pues ya la cuestión de mantenimiento que tienes ahí, ¿no? Ya. Si algo veo malo, pues tengo que repasarlo. Porque si no lo reporto no se lo dio a nadie, pues no sé cómo cómo se podría arreglar, pero por eso te decía desde al inicio que como la facultad todavía está no debe de generarse o crearse un instructivo para justamente generar esta parte, pero todo eso eso, supongo.",Reporte_verbal_sin_registro_digital,Trazabilidad y responsabilidad,RF-10;RF-23,EV-22,Munoz Q.
