evaluador,requisito,orden_presentacion,brazo,criterio,puntuacion
juez1,Item-11,11,Humano,Verificabilidad(1-5),3
juez1,Item-11,11,Humano,Correccion_fuente(1-5),4
juez1,Item-11,11,Humano,Consistencia_interna(1-5),4
juez1,Item-12,12,Humano,Completitud(1-5),3
juez1,Item-12,12,Humano,Ausencia_ambiguedad(1-5),2
juez1,Item-12,12,Humano,Verificabilidad(1-5),3
juez1,Item-12,12,Humano,Correccion_fuente(1-5),4
juez1,Item-12,12,Humano,Consistencia_interna(1-5),3
juez1,Item-13,13,Humano,Completitud(1-5),3
juez1,Item-13,13,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-13,13,Humano,Verificabilidad(1-5),4
juez1,Item-13,13,Humano,Correccion_fuente(1-5),4
juez1,Item-13,13,Humano,Consistencia_interna(1-5),5
juez1,Item-14,14,Humano,Completitud(1-5),4
juez1,Item-14,14,Humano,Ausencia_ambiguedad(1-5),3
juez1,Item-14,14,Humano,Verificabilidad(1-5),2
juez1,Item-14,14,Humano,Correccion_fuente(1-5),4
juez1,Item-14,14,Humano,Consistencia_interna(1-5),4
juez1,Item-15,15,LLM,Completitud(1-5),3
juez1,Item-15,15,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-15,15,LLM,Verificabilidad(1-5),5
juez1,Item-15,15,LLM,Correccion_fuente(1-5),5
juez1,Item-15,15,LLM,Consistencia_interna(1-5),4
juez1,Item-16,16,LLM,Completitud(1-5),4
juez1,Item-16,16,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-16,16,LLM,Verificabilidad(1-5),3
juez1,Item-16,16,LLM,Correccion_fuente(1-5),4
juez1,Item-16,16,LLM,Consistencia_interna(1-5),5
juez1,Item-17,17,LLM,Completitud(1-5),4
juez1,Item-17,17,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-17,17,LLM,Verificabilidad(1-5),3
juez1,Item-17,17,LLM,Correccion_fuente(1-5),5
juez1,Item-17,17,LLM,Consistencia_interna(1-5),5
juez1,Item-18,18,LLM,Completitud(1-5),5
juez1,Item-18,18,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-18,18,LLM,Verificabilidad(1-5),5
juez1,Item-18,18,LLM,Correccion_fuente(1-5),5
juez1,Item-18,18,LLM,Consistencia_interna(1-5),5
juez1,Item-19,19,Humano,Completitud(1-5),5
juez1,Item-19,19,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-19,19,Humano,Verificabilidad(1-5),3
juez1,Item-19,19,Humano,Correccion_fuente(1-5),4
juez1,Item-19,19,Humano,Consistencia_interna(1-5),5
juez1,Item-20,20,LLM,Completitud(1-5),4
juez1,Item-20,20,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-20,20,LLM,Verificabilidad(1-5),5
juez1,Item-20,20,LLM,Correccion_fuente(1-5),4
juez1,Item-20,20,LLM,Consistencia_interna(1-5),4
juez1,Item-21,21,LLM,Completitud(1-5),5
juez1,Item-21,21,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-21,21,LLM,Verificabilidad(1-5),5
juez1,Item-21,21,LLM,Correccion_fuente(1-5),5
juez1,Item-21,21,LLM,Consistencia_interna(1-5),5
juez1,Item-22,22,LLM,Completitud(1-5),4
juez1,Item-22,22,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-22,22,LLM,Verificabilidad(1-5),2
juez1,Item-22,22,LLM,Correccion_fuente(1-5),4
juez1,Item-22,22,LLM,Consistencia_interna(1-5),4
juez1,Item-23,23,LLM,Completitud(1-5),4
juez1,Item-23,23,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-23,23,LLM,Verificabilidad(1-5),4
juez1,Item-23,23,LLM,Correccion_fuente(1-5),5
juez1,Item-23,23,LLM,Consistencia_interna(1-5),4
juez1,Item-24,24,Humano,Completitud(1-5),4
juez1,Item-24,24,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-24,24,Humano,Verificabilidad(1-5),5
juez1,Item-24,24,Humano,Correccion_fuente(1-5),5
juez1,Item-24,24,Humano,Consistencia_interna(1-5),5
juez1,Item-25,25,LLM,Completitud(1-5),5
juez1,Item-25,25,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-25,25,LLM,Verificabilidad(1-5),4
juez1,Item-25,25,LLM,Correccion_fuente(1-5),5
juez1,Item-25,25,LLM,Consistencia_interna(1-5),4
juez1,Item-26,26,LLM,Completitud(1-5),5
juez1,Item-26,26,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-26,26,LLM,Verificabilidad(1-5),5
juez1,Item-26,26,LLM,Correccion_fuente(1-5),4
juez1,Item-26,26,LLM,Consistencia_interna(1-5),5
juez1,Item-27,27,Humano,Completitud(1-5),3
juez1,Item-27,27,Humano,Ausencia_ambiguedad(1-5),2
juez1,Item-27,27,Humano,Verificabilidad(1-5),3
juez1,Item-27,27,Humano,Correccion_fuente(1-5),4
juez1,Item-27,27,Humano,Consistencia_interna(1-5),3
juez1,Item-28,28,LLM,Completitud(1-5),3
juez1,Item-28,28,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-28,28,LLM,Verificabilidad(1-5),4
juez1,Item-28,28,LLM,Correccion_fuente(1-5),5
juez1,Item-28,28,LLM,Consistencia_interna(1-5),5
juez1,Item-29,29,Humano,Completitud(1-5),5
juez1,Item-29,29,Humano,Ausencia_ambiguedad(1-5),3
juez1,Item-29,29,Humano,Verificabilidad(1-5),4
juez1,Item-29,29,Humano,Correccion_fuente(1-5),4
juez1,Item-29,29,Humano,Consistencia_interna(1-5),4
juez1,Item-30,30,LLM,Completitud(1-5),5
juez1,Item-30,30,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-30,30,LLM,Verificabilidad(1-5),4
juez1,Item-30,30,LLM,Correccion_fuente(1-5),5
juez1,Item-30,30,LLM,Consistencia_interna(1-5),4
juez1,Item-31,31,LLM,Completitud(1-5),5
juez1,Item-31,31,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-31,31,LLM,Verificabilidad(1-5),5
juez1,Item-31,31,LLM,Correccion_fuente(1-5),5
juez1,Item-31,31,LLM,Consistencia_interna(1-5),5
juez1,Item-32,32,LLM,Completitud(1-5),5
juez1,Item-32,32,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-32,32,LLM,Verificabilidad(1-5),4
juez1,Item-32,32,LLM,Correccion_fuente(1-5),5
juez1,Item-32,32,LLM,Consistencia_interna(1-5),5
juez1,Item-33,33,Humano,Completitud(1-5),3
juez1,Item-33,33,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-33,33,Humano,Verificabilidad(1-5),4
juez1,Item-33,33,Humano,Correccion_fuente(1-5),5
juez1,Item-33,33,Humano,Consistencia_interna(1-5),5
juez1,Item-34,34,Humano,Completitud(1-5),3
juez1,Item-34,34,Humano,Ausencia_ambiguedad(1-5),2
juez1,Item-34,34,Humano,Verificabilidad(1-5),3
juez1,Item-34,34,Humano,Correccion_fuente(1-5),4
juez1,Item-34,34,Humano,Consistencia_interna(1-5),3
juez1,Item-35,35,Humano,Completitud(1-5),4
juez1,Item-35,35,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-35,35,Humano,Verificabilidad(1-5),3
juez1,Item-35,35,Humano,Correccion_fuente(1-5),5
juez1,Item-35,35,Humano,Consistencia_interna(1-5),5
juez1,Item-36,36,Humano,Completitud(1-5),5
juez1,Item-36,36,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-36,36,Humano,Verificabilidad(1-5),3
juez1,Item-36,36,Humano,Correccion_fuente(1-5),5
juez1,Item-36,36,Humano,Consistencia_interna(1-5),5
juez1,Item-37,37,LLM,Completitud(1-5),3
juez1,Item-37,37,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-37,37,LLM,Verificabilidad(1-5),3
juez1,Item-37,37,LLM,Correccion_fuente(1-5),5
juez1,Item-37,37,LLM,Consistencia_interna(1-5),5
juez1,Item-38,38,Humano,Completitud(1-5),4
juez1,Item-38,38,Humano,Ausencia_ambiguedad(1-5),3
juez1,Item-38,38,Humano,Verificabilidad(1-5),2
juez1,Item-38,38,Humano,Correccion_fuente(1-5),4
juez1,Item-38,38,Humano,Consistencia_interna(1-5),4
juez1,Item-39,39,Humano,Completitud(1-5),5
juez1,Item-39,39,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-39,39,Humano,Verificabilidad(1-5),5
juez1,Item-39,39,Humano,Correccion_fuente(1-5),5
juez1,Item-39,39,Humano,Consistencia_interna(1-5),4
juez1,Item-40,40,LLM,Completitud(1-5),3
juez1,Item-40,40,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-40,40,LLM,Verificabilidad(1-5),4
juez1,Item-40,40,LLM,Correccion_fuente(1-5),4
juez1,Item-40,40,LLM,Consistencia_interna(1-5),4
juez1,Item-41,41,LLM,Completitud(1-5),5
juez1,Item-41,41,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-41,41,LLM,Verificabilidad(1-5),5
juez1,Item-41,41,LLM,Correccion_fuente(1-5),5
juez1,Item-41,41,LLM,Consistencia_interna(1-5),5
juez1,Item-42,42,LLM,Completitud(1-5),4
juez1,Item-42,42,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-42,42,LLM,Verificabilidad(1-5),5
juez1,Item-42,42,LLM,Correccion_fuente(1-5),4
juez1,Item-42,42,LLM,Consistencia_interna(1-5),5
juez1,Item-43,43,Humano,Completitud(1-5),3
juez1,Item-43,43,Humano,Ausencia_ambiguedad(1-5),4
juez1,Item-43,43,Humano,Verificabilidad(1-5),4
juez1,Item-43,43,Humano,Correccion_fuente(1-5),5
juez1,Item-43,43,Humano,Consistencia_interna(1-5),4
juez1,Item-44,44,Humano,Completitud(1-5),4
juez1,Item-44,44,Humano,Ausencia_ambiguedad(1-5),5
juez1,Item-44,44,Humano,Verificabilidad(1-5),5
juez1,Item-44,44,Humano,Correccion_fuente(1-5),5
juez1,Item-44,44,Humano,Consistencia_interna(1-5),4
juez1,Item-45,45,LLM,Completitud(1-5),3
juez1,Item-45,45,LLM,Ausencia_ambiguedad(1-5),2
juez1,Item-45,45,LLM,Verificabilidad(1-5),3
juez1,Item-45,45,LLM,Correccion_fuente(1-5),4
juez1,Item-45,45,LLM,Consistencia_interna(1-5),3
juez1,Item-46,46,LLM,Completitud(1-5),3
juez1,Item-46,46,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-46,46,LLM,Verificabilidad(1-5),3
juez1,Item-46,46,LLM,Correccion_fuente(1-5),5
juez1,Item-46,46,LLM,Consistencia_interna(1-5),4
juez1,Item-47,47,LLM,Completitud(1-5),5
juez1,Item-47,47,LLM,Ausencia_ambiguedad(1-5),5
juez1,Item-47,47,LLM,Verificabilidad(1-5),3
juez1,Item-47,47,LLM,Correccion_fuente(1-5),5
juez1,Item-47,47,LLM,Consistencia_interna(1-5),5
juez1,Item-48,48,LLM,Completitud(1-5),5
juez1,Item-48,48,LLM,Ausencia_ambiguedad(1-5),3
juez1,Item-48,48,LLM,Verificabilidad(1-5),4
juez1,Item-48,48,LLM,Correccion_fuente(1-5),4
juez1,Item-48,48,LLM,Consistencia_interna(1-5),5
juez1,Item-49,49,Humano,Completitud(1-5),5
juez1,Item-49,49,Humano,Ausencia_ambiguedad(1-5),5
juez1,Item-49,49,Humano,Verificabilidad(1-5),5
juez1,Item-49,49,Humano,Correccion_fuente(1-5),5
juez1,Item-49,49,Humano,Consistencia_interna(1-5),5
juez1,Item-50,50,LLM,Completitud(1-5),4
juez1,Item-50,50,LLM,Ausencia_ambiguedad(1-5),4
juez1,Item-50,50,LLM,Verificabilidad(1-5),4
juez1,Item-50,50,LLM,Correccion_fuente(1-5),5
juez1,Item-50,50,LLM,Consistencia_interna(1-5),5
juez1,Item-51,51,Humano,Completitud(1-5),3
juez1,Item-51,51,Humano,Ausencia_ambiguedad(1-5),5
juez1,Item-51,51,Humano,Verificabilidad(1-5),4
juez1,Item-51,51,Humano,Correccion_fuente(1-5),4
juez1,Item-51,51,Humano,Consistencia_interna(1-5),4
juez2,Item-01,1,Humano,Completitud(1-5),4
juez2,Item-01,1,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-01,1,Humano,Verificabilidad(1-5),3
juez2,Item-01,1,Humano,Correccion_fuente(1-5),3
juez2,Item-01,1,Humano,Consistencia_interna(1-5),5
juez2,Item-02,2,Humano,Completitud(1-5),5
juez2,Item-02,2,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-02,2,Humano,Verificabilidad(1-5),5
juez2,Item-02,2,Humano,Correccion_fuente(1-5),5
juez2,Item-02,2,Humano,Consistencia_interna(1-5),4
juez2,Item-03,3,Humano,Completitud(1-5),4
juez2,Item-03,3,Humano,Ausencia_ambiguedad(1-5),2
juez2,Item-03,3,Humano,Verificabilidad(1-5),4
juez2,Item-03,3,Humano,Correccion_fuente(1-5),5
juez2,Item-03,3,Humano,Consistencia_interna(1-5),3
juez2,Item-04,4,LLM,Completitud(1-5),4
juez2,Item-04,4,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-04,4,LLM,Verificabilidad(1-5),5
juez2,Item-04,4,LLM,Correccion_fuente(1-5),3
juez2,Item-04,4,LLM,Consistencia_interna(1-5),5
juez2,Item-05,5,LLM,Completitud(1-5),5
juez2,Item-05,5,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-05,5,LLM,Verificabilidad(1-5),2
juez2,Item-05,5,LLM,Correccion_fuente(1-5),4
juez2,Item-05,5,LLM,Consistencia_interna(1-5),4
juez2,Item-06,6,Humano,Completitud(1-5),4
juez2,Item-06,6,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-06,6,Humano,Verificabilidad(1-5),5
juez2,Item-06,6,Humano,Correccion_fuente(1-5),5
juez2,Item-06,6,Humano,Consistencia_interna(1-5),4
juez2,Item-07,7,Humano,Completitud(1-5),5
juez2,Item-07,7,Humano,Ausencia_ambiguedad(1-5),5
juez2,Item-07,7,Humano,Verificabilidad(1-5),5
juez2,Item-07,7,Humano,Correccion_fuente(1-5),5
juez2,Item-07,7,Humano,Consistencia_interna(1-5),5
juez2,Item-08,8,Humano,Completitud(1-5),4
juez2,Item-08,8,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-08,8,Humano,Verificabilidad(1-5),3
juez2,Item-08,8,Humano,Correccion_fuente(1-5),4
juez2,Item-08,8,Humano,Consistencia_interna(1-5),5
juez2,Item-09,9,Humano,Completitud(1-5),5
juez2,Item-09,9,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-09,9,Humano,Verificabilidad(1-5),3
juez2,Item-09,9,Humano,Correccion_fuente(1-5),4
juez2,Item-09,9,Humano,Consistencia_interna(1-5),5
juez2,Item-10,10,LLM,Completitud(1-5),4
juez2,Item-10,10,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-10,10,LLM,Verificabilidad(1-5),5
juez2,Item-10,10,LLM,Correccion_fuente(1-5),5
juez2,Item-10,10,LLM,Consistencia_interna(1-5),4
juez2,Item-11,11,Humano,Completitud(1-5),5
juez2,Item-11,11,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-11,11,Humano,Verificabilidad(1-5),3
juez2,Item-11,11,Humano,Correccion_fuente(1-5),5
juez2,Item-11,11,Humano,Consistencia_interna(1-5),4
juez2,Item-12,12,Humano,Completitud(1-5),4
juez2,Item-12,12,Humano,Ausencia_ambiguedad(1-5),1
juez2,Item-12,12,Humano,Verificabilidad(1-5),4
juez2,Item-12,12,Humano,Correccion_fuente(1-5),3
juez2,Item-12,12,Humano,Consistencia_interna(1-5),4
juez2,Item-13,13,Humano,Completitud(1-5),4
juez2,Item-13,13,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-13,13,Humano,Verificabilidad(1-5),4
juez2,Item-13,13,Humano,Correccion_fuente(1-5),3
juez2,Item-13,13,Humano,Consistencia_interna(1-5),5
juez2,Item-14,14,Humano,Completitud(1-5),4
juez2,Item-14,14,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-14,14,Humano,Verificabilidad(1-5),1
juez2,Item-14,14,Humano,Correccion_fuente(1-5),4
juez2,Item-14,14,Humano,Consistencia_interna(1-5),4
juez2,Item-15,15,LLM,Completitud(1-5),4
juez2,Item-15,15,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-15,15,LLM,Verificabilidad(1-5),5
juez2,Item-15,15,LLM,Correccion_fuente(1-5),5
juez2,Item-15,15,LLM,Consistencia_interna(1-5),4
juez2,Item-16,16,LLM,Completitud(1-5),4
juez2,Item-16,16,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-16,16,LLM,Verificabilidad(1-5),3
juez2,Item-16,16,LLM,Correccion_fuente(1-5),5
juez2,Item-16,16,LLM,Consistencia_interna(1-5),5
juez2,Item-17,17,LLM,Completitud(1-5),4
juez2,Item-17,17,LLM,Ausencia_ambiguedad(1-5),3
juez2,Item-17,17,LLM,Verificabilidad(1-5),3
juez2,Item-17,17,LLM,Correccion_fuente(1-5),5
juez2,Item-17,17,LLM,Consistencia_interna(1-5),4
juez2,Item-18,18,LLM,Completitud(1-5),4
juez2,Item-18,18,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-18,18,LLM,Verificabilidad(1-5),4
juez2,Item-18,18,LLM,Correccion_fuente(1-5),5
juez2,Item-18,18,LLM,Consistencia_interna(1-5),4
juez2,Item-19,19,Humano,Completitud(1-5),5
juez2,Item-19,19,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-19,19,Humano,Verificabilidad(1-5),2
juez2,Item-19,19,Humano,Correccion_fuente(1-5),5
juez2,Item-19,19,Humano,Consistencia_interna(1-5),4
juez2,Item-20,20,LLM,Completitud(1-5),4
juez2,Item-20,20,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-20,20,LLM,Verificabilidad(1-5),5
juez2,Item-20,20,LLM,Correccion_fuente(1-5),4
juez2,Item-20,20,LLM,Consistencia_interna(1-5),4
juez2,Item-21,21,LLM,Completitud(1-5),5
juez2,Item-21,21,LLM,Ausencia_ambiguedad(1-5),3
juez2,Item-21,21,LLM,Verificabilidad(1-5),5
juez2,Item-21,21,LLM,Correccion_fuente(1-5),4
juez2,Item-21,21,LLM,Consistencia_interna(1-5),5
juez2,Item-22,22,LLM,Completitud(1-5),4
juez2,Item-22,22,LLM,Ausencia_ambiguedad(1-5),2
juez2,Item-22,22,LLM,Verificabilidad(1-5),1
juez2,Item-22,22,LLM,Correccion_fuente(1-5),4
juez2,Item-22,22,LLM,Consistencia_interna(1-5),5
juez2,Item-23,23,LLM,Completitud(1-5),3
juez2,Item-23,23,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-23,23,LLM,Verificabilidad(1-5),3
juez2,Item-23,23,LLM,Correccion_fuente(1-5),5
juez2,Item-23,23,LLM,Consistencia_interna(1-5),4
juez2,Item-24,24,Humano,Completitud(1-5),3
juez2,Item-24,24,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-24,24,Humano,Verificabilidad(1-5),5
juez2,Item-24,24,Humano,Correccion_fuente(1-5),5
juez2,Item-24,24,Humano,Consistencia_interna(1-5),4
juez2,Item-25,25,LLM,Completitud(1-5),4
juez2,Item-25,25,LLM,Ausencia_ambiguedad(1-5),3
juez2,Item-25,25,LLM,Verificabilidad(1-5),3
juez2,Item-25,25,LLM,Correccion_fuente(1-5),5
juez2,Item-25,25,LLM,Consistencia_interna(1-5),3
juez2,Item-26,26,LLM,Completitud(1-5),5
juez2,Item-26,26,LLM,Ausencia_ambiguedad(1-5),3
juez2,Item-26,26,LLM,Verificabilidad(1-5),5
juez2,Item-26,26,LLM,Correccion_fuente(1-5),4
juez2,Item-26,26,LLM,Consistencia_interna(1-5),5
juez2,Item-27,27,Humano,Completitud(1-5),2
juez2,Item-27,27,Humano,Ausencia_ambiguedad(1-5),2
juez2,Item-27,27,Humano,Verificabilidad(1-5),3
juez2,Item-27,27,Humano,Correccion_fuente(1-5),3
juez2,Item-27,27,Humano,Consistencia_interna(1-5),3
juez2,Item-28,28,LLM,Completitud(1-5),2
juez2,Item-28,28,LLM,Ausencia_ambiguedad(1-5),3
juez2,Item-28,28,LLM,Verificabilidad(1-5),5
juez2,Item-28,28,LLM,Correccion_fuente(1-5),5
juez2,Item-28,28,LLM,Consistencia_interna(1-5),5
juez2,Item-29,29,Humano,Completitud(1-5),5
juez2,Item-29,29,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-29,29,Humano,Verificabilidad(1-5),4
juez2,Item-29,29,Humano,Correccion_fuente(1-5),4
juez2,Item-29,29,Humano,Consistencia_interna(1-5),3
juez2,Item-30,30,LLM,Completitud(1-5),5
juez2,Item-30,30,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-30,30,LLM,Verificabilidad(1-5),4
juez2,Item-30,30,LLM,Correccion_fuente(1-5),5
juez2,Item-30,30,LLM,Consistencia_interna(1-5),3
juez2,Item-31,31,LLM,Completitud(1-5),4
juez2,Item-31,31,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-31,31,LLM,Verificabilidad(1-5),4
juez2,Item-31,31,LLM,Correccion_fuente(1-5),5
juez2,Item-31,31,LLM,Consistencia_interna(1-5),5
juez2,Item-32,32,LLM,Completitud(1-5),5
juez2,Item-32,32,LLM,Ausencia_ambiguedad(1-5),2
juez2,Item-32,32,LLM,Verificabilidad(1-5),5
juez2,Item-32,32,LLM,Correccion_fuente(1-5),5
juez2,Item-32,32,LLM,Consistencia_interna(1-5),5
juez2,Item-33,33,Humano,Completitud(1-5),3
juez2,Item-33,33,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-33,33,Humano,Verificabilidad(1-5),5
juez2,Item-33,33,Humano,Correccion_fuente(1-5),5
juez2,Item-33,33,Humano,Consistencia_interna(1-5),5
juez2,Item-34,34,Humano,Completitud(1-5),2
juez2,Item-34,34,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-34,34,Humano,Verificabilidad(1-5),3
juez2,Item-34,34,Humano,Correccion_fuente(1-5),3
juez2,Item-34,34,Humano,Consistencia_interna(1-5),3
juez2,Item-35,35,Humano,Completitud(1-5),4
juez2,Item-35,35,Humano,Ausencia_ambiguedad(1-5),5
juez2,Item-35,35,Humano,Verificabilidad(1-5),3
juez2,Item-35,35,Humano,Correccion_fuente(1-5),5
juez2,Item-35,35,Humano,Consistencia_interna(1-5),5
juez2,Item-36,36,Humano,Completitud(1-5),5
juez2,Item-36,36,Humano,Ausencia_ambiguedad(1-5),5
juez2,Item-36,36,Humano,Verificabilidad(1-5),2
juez2,Item-36,36,Humano,Correccion_fuente(1-5),4
juez2,Item-36,36,Humano,Consistencia_interna(1-5),5
juez2,Item-37,37,LLM,Completitud(1-5),3
juez2,Item-37,37,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-37,37,LLM,Verificabilidad(1-5),3
juez2,Item-37,37,LLM,Correccion_fuente(1-5),5
juez2,Item-37,37,LLM,Consistencia_interna(1-5),4
juez2,Item-38,38,Humano,Completitud(1-5),3
juez2,Item-38,38,Humano,Ausencia_ambiguedad(1-5),3
juez2,Item-38,38,Humano,Verificabilidad(1-5),1
juez2,Item-38,38,Humano,Correccion_fuente(1-5),3
juez2,Item-38,38,Humano,Consistencia_interna(1-5),5
juez2,Item-39,39,Humano,Completitud(1-5),4
juez2,Item-39,39,Humano,Ausencia_ambiguedad(1-5),4
juez2,Item-39,39,Humano,Verificabilidad(1-5),5
juez2,Item-39,39,Humano,Correccion_fuente(1-5),4
juez2,Item-39,39,Humano,Consistencia_interna(1-5),4
juez2,Item-40,40,LLM,Completitud(1-5),2
juez2,Item-40,40,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-40,40,LLM,Verificabilidad(1-5),4
juez2,Item-40,40,LLM,Correccion_fuente(1-5),5
juez2,Item-40,40,LLM,Consistencia_interna(1-5),3
juez2,Item-41,41,LLM,Completitud(1-5),4
juez2,Item-41,41,LLM,Ausencia_ambiguedad(1-5),5
juez2,Item-41,41,LLM,Verificabilidad(1-5),5
juez2,Item-41,41,LLM,Correccion_fuente(1-5),5
juez2,Item-41,41,LLM,Consistencia_interna(1-5),5
juez2,Item-42,42,LLM,Completitud(1-5),3
juez2,Item-42,42,LLM,Ausencia_ambiguedad(1-5),4
juez2,Item-42,42,LLM,Verificabilidad(1-5),5
juez2,Item-42,42,LLM,Correccion_fuente(1-5),4
juez2,Item-42,42,LLM,Consistencia_interna(1-5),5
juez2,Item-43,43,Humano,Completitud(1-5),2
juez2,Item-43,43,Humano,Ausencia_ambiguedad(1-5),5
