ID,Requisito,Tipo_de_prueba,Objetivo,Precondicion,Procedimiento,Resultado_esperado,Criterio_de_aceptacion,Elemento_de_diseno,Caso_de_uso,Ejecutable_hoy,Estado
CP-RF-11,RF-11,Funcional,Comprobar que se cumple: Notificar de forma inmediata las fallas criticas,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Alerta,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Alerta en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-09, definido en el ERS",CA-09,Alerta,CU-04;CU-05,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-12,RF-12,Funcional,Comprobar que se cumple: Gestionar las solicitudes de mantenimiento,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SolicitudMantenimiento,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre SolicitudMantenimiento en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-10;CA-21, definido en el ERS",CA-10;CA-21,SolicitudMantenimiento,CU-06;CU-07,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-13,RF-13,Funcional,Comprobar que se cumple: Controlar automaticamente el apagado energetico,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Equipo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Equipo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-11, definido en el ERS",CA-11,Equipo,CU-13,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-14,RF-14,Funcional,Comprobar que se cumple: Analizar patrones de consumo energetico,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: ConsumoEnergetico,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre ConsumoEnergetico en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,ConsumoEnergetico,CU-16,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RF-15,RF-15,Funcional,Comprobar que se cumple: Programar horarios automatizados de encendido/apagado,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: HorarioAcademico,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre HorarioAcademico en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-12, definido en el ERS",CA-12,HorarioAcademico,CU-13,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-16,RF-16,Funcional,Comprobar que se cumple: Apagar automaticamente equipos de aulas desocupadas,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Aula;Equipo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Aula;Equipo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-13, definido en el ERS",CA-13,Aula;Equipo,CU-03;CU-13,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-17,RF-17,Funcional,Comprobar que se cumple: Generar reportes estadisticos periodicos,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: ReporteAdministrativo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre ReporteAdministrativo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,ReporteAdministrativo,CU-09,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-18,RF-18,Funcional,Comprobar que se cumple: Exportar reportes en PDF y Excel,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: ReporteAdministrativo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre ReporteAdministrativo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,ReporteAdministrativo,CU-10,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RF-19,RF-19,Funcional,Comprobar que se cumple: Gestionar acceso diferenciado por roles,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario;Rol,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Usuario;Rol en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-14, definido en el ERS",CA-14,Usuario;Rol,CU-11,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-20,RF-20,Funcional,Comprobar que se cumple: Registrar el historial de ocupacion de aulas,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Aula;LecturaSensor,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Aula;LecturaSensor en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-18, definido en el ERS",CA-18,Aula;LecturaSensor,CU-01;CU-08,No: el prototipo no implementa el requisito,"Especificado, no ejecutado"
CP-RF-21,RF-21,Funcional,Comprobar que se cumple: Notificar equipos encendidos fuera de horario,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Alerta;Equipo,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Alerta;Equipo en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-15, definido en el ERS",CA-15,Alerta;Equipo,CU-04;CU-13,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-22,RF-22,Funcional,Comprobar que se cumple: Monitorear la conectividad de la red IoT,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: GatewayIoT,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre GatewayIoT en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-16, definido en el ERS",CA-16,GatewayIoT,CU-12,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-23,RF-23,Funcional,Comprobar que se cumple: Registrar bitacora de acciones de usuario,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: BitacoraAccion,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre BitacoraAccion en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-17, definido en el ERS",CA-17,BitacoraAccion,CU-14,Si: el prototipo implementa el requisito,"Especificado, no ejecutado"
CP-RF-24,RF-24,Funcional,Comprobar que se cumple: Exportar los datos personales del usuario a solicitud,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Usuario en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-19, definido en el ERS",CA-19,Usuario,CU-11,No: el prototipo no implementa el requisito,"Especificado, no ejecutado"
CP-RF-25,RF-25,Funcional,Comprobar que se cumple: Rectificar los datos personales del usuario,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario,"1) Autenticarse con un rol autorizado. 2) Reproducir el escenario Gherkin del criterio de aceptacion asociado, sobre Usuario en el entorno de prueba. 3) Observar la respuesta del sistema y su registro en bitacora. 4) Repetir con datos limite y con un rol no autorizado, para comprobar que la funcion se deniega a quien no debe usarla.","El comportamiento observado coincide con el enunciado del requisito, sin excepciones. Se da por superada la prueba cuando se satisface el escenario Gherkin de CA-20, definido en el ERS",CA-20,Usuario,CU-11,No: el prototipo no implementa el requisito,"Especificado, no ejecutado"
CP-RNF-01,RNF-01,"No funcional, medicion contra umbral",Comprobar que se cumple: El sistema debe entregar alertas de anomalia en <=60s desde la deteccion,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Alerta,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral <=60s. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: <=60s,Sin criterio de aceptacion asociado,Alerta,CU-04;CU-05,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-02,RNF-02,"No funcional, medicion contra umbral",Comprobar que se cumple: Disponibilidad >=99% mensual (downtime <=7.3 h/mes),Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Sin componente asociado,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral >=99%. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: >=99%,Sin criterio de aceptacion asociado,Sin componente asociado,Sin caso de uso asociado,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-03,RNF-03,"No funcional, medicion contra umbral",Comprobar que se cumple: Datos en transito y reposo cifrados con AES-256; acceso sin credenciales rechazado,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario;Rol,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,Usuario;Rol,CU-11,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-04,RNF-04,"No funcional, medicion contra umbral",Comprobar que se cumple: Usuario sin capacitacion previa completa consultar estado de un aula en <=5 min,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Aula,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,Aula,CU-01,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-05,RNF-05,"No funcional, medicion contra umbral",Comprobar que se cumple: La interfaz debe funcionar sin instalacion adicional en Chrome Firefox y Edge,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Sin componente asociado,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,Sin componente asociado,CU-01,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-06,RNF-06,"No funcional, medicion contra umbral",Comprobar que se cumple: Cobertura de pruebas unitarias >=70% en modulos criticos,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Sin componente asociado,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral >=70%. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: >=70%,Sin criterio de aceptacion asociado,Sin componente asociado,Sin caso de uso asociado,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-07,RNF-07,"No funcional, medicion contra umbral",Comprobar que se cumple: Tasa de acierto >=95% del modulo de deteccion de ocupacion frente al estado real,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SensorIoT,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral >=95%. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: >=95%,Sin criterio de aceptacion asociado,SensorIoT,CU-03,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-08,RNF-08,"No funcional, medicion contra umbral",Comprobar que se cumple: Integracion con el Sistema de Horario Academico sin perdida de datos,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: HorarioAcademico,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,HorarioAcademico,CU-13,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-09,RNF-09,"No funcional, medicion contra umbral",Comprobar que se cumple: Incorporar un nuevo tipo de sensor IoT en <=8 horas-persona sin modificar el nucleo,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: GatewayIoT,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral <=8 horas. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: <=8 horas,Sin criterio de aceptacion asociado,GatewayIoT,Sin caso de uso asociado,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-10,RNF-10,"No funcional, medicion contra umbral",Comprobar que se cumple: Explicacion de cada prediccion de falla en <=2s y <=60 palabras comprensible para el usuario,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Equipo,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral <=2s. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: <=2s,Sin criterio de aceptacion asociado,Equipo,CU-16,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-11,RNF-11,"No funcional, medicion contra umbral",Comprobar que se cumple: Exportar los datos personales del usuario en <=15 dias habiles desde la solicitud,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral <=15 dias. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: <=15 dias,Sin criterio de aceptacion asociado,Usuario,CU-11,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-12,RNF-12,"No funcional, medicion contra umbral",Comprobar que se cumple: Alerta automatica al administrador ante intento de acceso no autorizado en <=5 min,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Usuario;Rol,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,Usuario;Rol,CU-11,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-13,RNF-13,"No funcional, medicion contra umbral",Comprobar que se cumple: Reanudar recepcion de datos en <=5 min tras restablecimiento de conexion del Gateway IoT,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: GatewayIoT,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,GatewayIoT,CU-12,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-14,RNF-14,"No funcional, medicion contra umbral",Comprobar que se cumple: Tiempo de diagnostico por clase de falla: <=15 min la menor in situ, <=24 h la mayor con retirada de equipo,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: SolicitudMantenimiento,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,SolicitudMantenimiento,CU-08,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-15,RNF-15,"No funcional, medicion contra umbral",Comprobar que se cumple: Interfaz web operativa sin perdida de funciones criticas con ancho de banda >=1 Mbps,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: Sin componente asociado,Medicion contra umbral. 1) Preparar el escenario descrito en la precondicion. 2) Tomar al menos 30 mediciones independientes de la magnitud del requisito. 3) Calcular el estadistico declarado y su intervalo de confianza del 95 %. 4) Comparar con el umbral >=1 Mb. Una medicion aislada no decide: el intervalo debe quedar del lado correcto.,El sistema cumple el umbral declarado: >=1 Mb,Sin criterio de aceptacion asociado,Sin componente asociado,CU-01,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
CP-RNF-16,RNF-16,"No funcional, medicion contra umbral",Comprobar que se cumple: Notificar explicitamente al usuario cuando un aula no tiene conectividad de red disponible,Entorno de prueba desplegado con datos de ejemplo; elemento bajo prueba disponible: GatewayIoT,Medicion cualitativa. 1) Preparar el escenario de la precondicion. 2) Ejecutar el escenario con participantes del perfil destinatario. 3) Registrar el resultado y la evidencia que lo sostiene.,"El comportamiento observado coincide con el enunciado del requisito, sin excepciones",Sin criterio de aceptacion asociado,GatewayIoT,CU-01,"No: requisito no funcional, exige medicion en operacion","Especificado, no ejecutado"
