archivo,columna,tipo,unidad,rango_admisible,codificacion_faltantes,procedencia
datos_crudos/juez3.csv,Verificabilidad(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Correccion_fuente(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/juez3.csv,Consistencia_interna(1-5),entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
datos_crudos/asignacion_brazo_items.csv,Item_ciego,texto,n/a,Item-01 a Item-51,no se admiten,"Derivado de la tabla de desciego, conservada fuera del repositorio publico"
datos_crudos/asignacion_brazo_items.csv,Origen,categorico,n/a,Humano | LLM,no se admiten,Brazo del cuasi-experimento al que pertenece el item
datos_procesados/evaluacion_ciega_formato_largo.csv,evaluador,categorico,n/a,juez1 | juez2 | juez3,no se admiten,Generado por scripts/etapa1_formato_largo.py
datos_procesados/evaluacion_ciega_formato_largo.csv,requisito,texto,n/a,Item-01 a Item-51,no se admiten,Identificador ciego del requisito evaluado
datos_procesados/evaluacion_ciega_formato_largo.csv,orden_presentacion,entero,posicion,1 a 51,no se admiten,Posicion del item en el paquete aleatorizado entregado a los tres jueces
datos_procesados/evaluacion_ciega_formato_largo.csv,brazo,categorico,n/a,Humano | LLM,no se admiten,Union con asignacion_brazo_items.csv
datos_procesados/evaluacion_ciega_formato_largo.csv,criterio,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,Dimension de la rubrica de evaluacion
datos_procesados/evaluacion_ciega_formato_largo.csv,puntuacion,entero ordinal,puntos de rubrica,1 a 5,no se admiten,"Hoja de puntuacion devuelta por la persona evaluadora, instrumentos/Hoja_Puntuacion_JUEZ.csv"
resultados/acuerdo_interevaluador_ic.csv,criterio,categorico,n/a,Completitud(1-5) | Ausencia_ambiguedad(1-5) | Verificabilidad(1-5) | Correccion_fuente(1-5) | Consistencia_interna(1-5),no se admiten,Generado por scripts/etapa2_acuerdo_ic.py
resultados/acuerdo_interevaluador_ic.csv,medida,categorico,n/a,Kappa de Cohen con ponderacion lineal | Kappa de Fleiss,no se admiten,Coeficiente de acuerdo aplicado
resultados/acuerdo_interevaluador_ic.csv,jueces,categorico,n/a,juez1-juez2 | juez1-juez3 | juez2-juez3 | los tres,no se admiten,"Par de evaluadores, o los tres para Fleiss"
resultados/acuerdo_interevaluador_ic.csv,n_items,entero,items,51,no se admiten,Numero de items sobre los que se calcula el coeficiente
resultados/acuerdo_interevaluador_ic.csv,valor,decimal,coeficiente kappa,-1 a 1,no se admiten,Calculado sobre evaluacion_ciega_formato_largo.csv
resultados/acuerdo_interevaluador_ic.csv,IC95_inferior,decimal,coeficiente kappa,-1 a 1,no se admiten,"Percentil 2,5 del bootstrap de items"
resultados/acuerdo_interevaluador_ic.csv,IC95_superior,decimal,coeficiente kappa,-1 a 1,no se admiten,"Percentil 97,5 del bootstrap de items"
resultados/acuerdo_interevaluador_ic.csv,n_bootstrap,entero,replicas,10000,no se admiten,Numero de remuestreos
resultados/acuerdo_interevaluador_ic.csv,semilla,entero,n/a,20260802,no se admiten,Semilla fijada para que el intervalo sea reproducible
datos_crudos/respuestas_cuestionario.csv,Marca temporal,marca temporal,fecha y hora,n/a,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,0. ¿Aceptas que tus respuestas anónimas se usen con fines académicos de este proyecto?,categorico,n/a,Si,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,1. ¿A qué nivel estás cursando actualmente?,categorico,n/a,1.º – 2.º semestre | 3.º – 4.º semestre | 45 | 5.º – 6.º semestre | 7.º – 8.º semestre | 9.º – 10.º semestre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,2. ¿Cuántas horas a la semana pasas en aulas de la FCC?,categorico,n/a,1-4 | 2-5 | 3-6 | 4-7,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,3. ¿Desde qué dispositivo consultarías el estado de un aula?,categorico,n/a,Celular | Laptop | Tablet,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,4.  Temperatura incómoda en el aula,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,5.  Proyector dañado o sin señal,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,6.   Conflicto de &quot;aula ocupada&quot; cuando no debería estarlo,categorico,n/a,46 | A veces | Frecuentemente | Nunca | Rara vez,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,7.  Wi-Fi fallando durante clase,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,8.  Interrupción de clase por mantenimiento,categorico,n/a,A veces | Frecuentemente | Nunca | Rara vez | Siempre,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,9. Recibir notificación de un problema antes de llegar al aula,entero ordinal,escala de la pregunta,1 a 5 observado,no se admiten,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,10.  Ver en tiempo real qué aulas están libres,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,11.  Que el aire acondicionado se ajuste automáticamente,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,12.  Poder reportar una falla desde el celular,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,13.  Consultar el historial de fallas de un aula,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,14.  Recibir alerta si cambia el aula de último momento,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,15.  Ver el estado de conectividad antes de una clase virtual,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,16. Que el sistema prediga fallas antes de que ocurran,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,16.  ¿Qué tan importante es que el sistema te explique por qué predijo una falla?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,18.   ¿Qué tipo de explicación preferirías?,categorico,n/a,"Ninguna, solo la alerta | Un detalle técnico | Un ejemplo de un caso anterior | Una frase simple",celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,19.  ¿Qué tan cómodo(a) estarías con que el sistema use las cámaras existentes para saber si el aula está ocupada?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,20.  ¿Quién debería poder ver tus datos de uso del sistema?,categorico,n/a,Cualquier persona de la facultad | Docentes y administradores | Nadie | Solo administradores | Solo yo,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,21.  ¿Qué tan importante es poder corregir o eliminar tus datos?,entero ordinal,escala de la pregunta,1 a 5 observado,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"22. Si el sistema te avisa automáticamente ante una falla, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"23.  Si el sistema NO te avisa y debes enterarte por tu cuenta, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"24.  Si puedes ver la disponibilidad de aulas en tiempo real, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"25.  Si NO puedes verla y debes preguntar o ir a revisar, ¿cómo te sentirías?",categorico,n/a,64 | Lo doy por hecho | Lo toleraría | Me encantaría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"26.  Si el aire acondicionado se ajusta automáticamente según la ocupación, ¿cómo te sentirías?",categorico,n/a,7 valores distintos,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,"27.  Si el aire acondicionado NO se ajusta automáticamente según la ocupación, ¿cómo te sentirías?",categorico,n/a,Lo doy por hecho | Lo toleraría | Me es indiferente | No me gustaría,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,28.  ¿Usarías este sistema si estuviera disponible hoy?,categorico,n/a,"No estoy seguro | Probablemente no | Probablemente sí | Sí, seguro",celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
datos_crudos/respuestas_cuestionario.csv,29.  ¿Qué problema con las aulas no cubrimos en este cuestionario?,categorico,n/a,13 valores distintos,celda vacia,"Respuesta del cuestionario digital v2.0 (EV-17), 31 respondientes anonimos"
